F3 AGGREGATE MEASURES OF AUSTRALIAN CORPORATE BOND YIELDS: NON-FINANCIAL CORPORATE (NFC) BONDS,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/2012,3.08,3.82,4.79,4.26,6.88,4.79,8.94,5.19,51,16,12,16,5,3.05,4.92,5.05,5.47,7.03,5.86,9.21,6.43,18,11,12,10,2
31/01/2013,3.06,3.88,4.79,4.32,6.87,4.85,8.91,5.28,51,17,12,16,5,3.02,4.79,5.06,5.44,7.02,5.91,9.16,6.48,18,11,12,10,2
28/02/2013,3.07,3.82,4.81,4.27,6.87,4.80,8.87,5.22,53,14,13,16,5,2.99,4.79,5.08,5.41,7.01,5.88,9.12,6.45,18,11,13,9,2
31/03/2013,3.07,3.95,4.83,4.41,6.85,4.93,9.00,5.36,53,15,14,16,5,3.04,4.86,5.10,5.42,7.02,5.91,9.14,6.47,17,12,12,10,2
30/04/2013,3.12,3.72,4.85,4.17,6.84,4.69,8.97,5.11,51,16,14,14,6,3.02,4.54,5.22,5.16,7.07,5.65,9.03,6.19,18,13,12,11,2
31/05/2013,3.21,3.68,4.89,4.18,6.83,4.74,8.90,5.15,44,15,12,11,6,3.00,4.45,5.09,5.07,7.05,5.64,9.02,6.18,24,15,14,12,2
30/06/2013,3.20,4.02,4.91,4.69,6.81,5.31,8.87,5.73,46,13,14,11,6,2.98,4.82,5.10,5.64,7.03,6.38,8.97,7.04,24,15,14,12,2
31/07/2013,3.20,3.73,4.91,4.42,6.79,5.03,8.85,5.43,45,13,14,11,6,3.00,4.52,5.22,5.39,7.01,6.09,8.87,6.80,26,13,16,12,2
31/08/2013,3.17,3.90,4.91,4.65,6.78,5.28,8.82,5.67,44,13,14,11,6,3.00,4.68,5.23,5.60,6.98,6.32,8.81,7.07,26,14,16,12,2
30/09/2013,3.19,3.89,4.92,4.60,6.79,5.23,9.07,5.68,44,13,15,12,7,2.99,4.79,5.24,5.63,6.95,6.35,8.76,7.09,28,12,16,12,2
31/10/2013,3.16,3.94,4.94,4.64,6.79,5.26,9.02,5.66,45,13,16,11,7,3.07,4.90,5.32,5.67,6.96,6.32,8.60,7.06,28,14,19,11,2
30/11/2013,3.22,4.00,4.95,4.70,6.76,5.36,8.99,5.83,46,13,17,10,7,3.22,5.03,5.32,5.78,6.90,6.45,8.55,7.21,26,15,20,10,2
31/12/2013,3.20,3.99,4.95,4.64,6.72,5.23,8.95,5.70,48,15,19,10,7,3.27,4.97,5.35,5.73,6.92,6.38,8.51,7.12,22,14,17,10,2
31/01/2014,3.20,3.79,4.94,4.42,6.70,4.97,8.93,5.42,47,16,18,10,7,3.27,4.83,5.34,5.46,6.89,6.09,8.45,6.80,22,15,16,10,2
28/02/2014,3.21,3.75,4.94,4.37,6.70,4.91,8.96,5.38,47,15,19,10,7,3.28,4.73,5.33,5.38,6.87,5.96,8.40,6.59,22,16,15,10,2
31/03/2014,3.19,3.86,4.93,4.47,6.68,4.97,8.93,5.41,47,16,17,11,6,3.32,4.77,5.37,5.44,6.85,5.96,8.30,6.53,21,16,17,10,2
30/04/2014,3.19,3.74,4.95,4.29,6.68,4.79,8.88,5.21,46,15,16,12,6,3.37,4.64,5.27,5.15,6.76,5.70,8.69,6.22,22,15,17,9,2
31/05/2014,3.17,3.57,4.94,4.05,6.66,4.50,8.86,4.89,46,15,19,9,6,3.38,4.36,5.31,4.87,6.80,5.37,8.58,5.79,22,15,19,9,2
30/06/2014,3.15,3.51,4.93,3.99,6.65,4.42,8.83,4.80,46,16,19,8,6,3.50,4.31,5.31,4.73,6.78,5.18,8.53,5.56,21,16,18,9,2
31/07/2014,3.18,3.49,4.93,3.93,6.63,4.33,8.82,4.72,46,17,17,9,6,3.66,4.29,5.34,4.66,6.83,5.06,8.63,5.34,20,21,17,10,3
31/08/2014,3.16,3.44,4.92,3.84,6.62,4.20,8.79,4.55,46,17,18,8,6,3.77,4.29,5.33,4.58,6.79,4.94,8.59,5.19,18,22,17,10,2
30/09/2014,3.15,3.61,4.91,4.06,6.60,4.44,8.77,4.79,44,20,16,7,6,3.92,4.45,5.31,4.76,6.77,5.19,8.54,5.46,14,22,16,10,2
31/10/2014,3.13,3.55,4.93,3.98,6.62,4.35,8.85,4.72,45,20,16,8,6,3.94,4.32,5.33,4.65,6.75,5.11,8.68,5.37,15,24,16,9,2
30/11/2014,3.16,3.50,4.93,3.89,6.61,4.24,8.89,4.61,45,21,16,9,6,3.95,4.23,5.33,4.54,6.72,4.99,8.61,5.23,16,25,17,8,2
31/12/2014,3.18,3.22,4.93,3.52,6.59,3.81,8.86,4.14,45,18,16,9,6,3.99,3.97,5.32,4.28,6.70,4.68,8.56,4.75,15,25,17,8,2
31/01/2015,3.17,3.02,4.92,3.30,6.57,3.54,8.84,3.79,45,19,16,9,6,3.95,3.86,5.30,4.13,6.67,4.45,8.51,4.36,15,25,17,8,2
28/02/2015,3.15,2.82,4.89,3.16,6.55,3.45,8.82,3.77,46,19,16,9,6,3.96,3.68,5.26,3.96,6.62,4.30,8.47,4.37,16,26,16,8,2
31/03/2015,3.17,2.75,4.88,3.13,6.53,3.45,8.96,3.84,46,18,15,10,6,3.93,3.58,5.23,3.88,6.63,4.27,8.78,4.45,17,28,16,7,2
30/04/2015,3.21,3.01,4.86,3.43,6.54,3.78,9.09,4.17,45,17,13,10,6,3.94,3.80,5.21,4.11,6.66,4.50,9.18,4.81,19,28,19,7,3
31/05/2015,3.24,2.98,4.89,3.40,6.56,3.78,9.05,4.19,44,18,13,10,7,3.89,3.76,5.18,4.08,6.68,4.49,9.24,4.83,21,29,17,9,3
30/06/2015,3.25,3.21,4.89,3.68,6.54,4.10,9.04,4.57,43,18,14,10,7,3.89,4.01,5.19,4.38,6.68,4.79,9.27,5.17,20,29,17,10,3
31/07/2015,3.24,3.19,4.88,3.62,6.57,4.02,9.20,4.60,40,18,14,11,7,3.87,3.96,5.15,4.35,6.66,4.76,9.24,5.01,21,30,16,10,3
31/08/2015,3.20,3.15,4.86,3.56,6.59,3.96,9.20,4.54,39,16,14,11,7,3.86,3.98,5.10,4.39,6.60,4.79,9.19,5.07,22,33,15,10,3
30/09/2015,3.23,3.39,4.88,3.76,6.56,4.13,9.17,4.75,36,18,16,10,6,3.83,4.30,5.07,4.68,6.60,5.08,9.15,5.32,23,32,15,10,3
31/10/2015,3.21,3.31,4.87,3.67,6.55,4.02,9.17,4.63,37,19,15,9,6,3.80,4.37,5.04,4.71,6.60,5.05,9.11,5.28,25,32,13,10,3
30/11/2015,3.24,3.62,4.86,3.93,6.54,4.26,9.18,4.87,35,19,14,10,6,3.77,4.62,5.03,4.96,6.59,5.26,9.16,5.41,28,34,12,11,3
31/12/2015,3.23,3.79,4.87,4.18,6.53,4.52,9.18,5.13,31,19,13,10,6,3.70,4.71,4.97,5.08,6.58,5.36,9.12,5.45,32,35,11,11,3
31/01/2016,3.30,3.97,4.85,4.27,6.53,4.59,9.09,5.22,30,21,14,10,7,3.67,5.06,4.94,5.50,6.58,5.71,9.08,5.57,35,32,11,11,3
29/02/2016,3.32,3.86,4.83,4.08,6.52,4.32,9.09,4.89,30,21,14,9,7,3.69,5.22,4.92,5.55,6.59,5.68,9.04,5.57,33,32,12,12,3
31/03/2016,3.39,3.56,4.83,3.79,6.51,4.07,9.09,4.60,30,19,14,9,7,3.65,4.91,4.90,5.16,6.60,5.26,8.99,5.23,34,32,11,12,3
30/04/2016,3.37,3.28,4.81,3.55,6.52,3.83,9.21,4.16,29,19,14,10,7,3.65,4.44,4.88,4.71,6.61,4.87,8.95,4.97,33,31,12,11,3
31/05/2016,3.35,3.10,4.80,3.40,6.51,3.72,9.21,4.13,30,21,12,9,7,3.61,4.14,4.83,4.47,6.70,4.66,9.11,4.79,33,31,9,12,3
30/06/2016,3.38,2.95,4.80,3.18,6.50,3.43,9.20,3.78,30,22,10,9,7,3.59,3.98,4.81,4.22,6.74,4.39,9.13,4.65,34,30,9,12,3
31/07/2016,3.31,2.71,4.79,2.91,6.55,3.15,9.20,3.51,32,20,11,9,6,3.60,3.76,4.80,3.96,6.76,4.05,9.08,4.27,34,27,10,12,3
31/08/2016,3.28,2.54,4.77,2.75,6.53,3.02,9.19,3.44,33,20,10,9,6,3.56,3.41,4.80,3.62,6.79,3.81,9.08,4.10,36,27,11,13,3
30/09/2016,3.29,2.65,4.81,2.82,6.51,3.08,9.22,3.48,35,22,10,10,6,3.47,3.47,4.72,3.65,6.89,3.86,9.19,4.20,37,23,12,12,3
31/10/2016,3.32,2.80,4.81,3.08,6.50,3.39,9.21,3.80,34,22,10,9,6,3.43,3.61,4.74,3.83,6.92,4.12,9.13,4.47,42,20,13,13,3
30/11/2016,3.33,3.10,4.81,3.44,6.50,3.79,9.22,4.24,34,20,10,10,6,3.39,3.87,4.72,4.17,6.93,4.55,9.09,4.94,43,19,13,13,3
31/12/2016,3.30,3.17,4.80,3.52,6.49,3.87,9.21,4.30,34,20,10,10,6,3.45,3.94,4.77,4.30,6.77,4.63,9.01,4.93,44,19,13,12,3
31/01/2017,3.27,3.00,4.78,3.38,6.48,3.76,9.20,4.24,33,20,10,10,6,3.42,3.67,4.76,3.98,6.78,4.39,8.96,4.79,44,19,13,12,3
28/02/2017,3.28,2.87,4.77,3.23,6.47,3.60,9.26,4.10,32,20,10,11,6,3.39,3.53,4.74,3.85,6.78,4.26,8.91,4.63,44,18,13,12,3
31/03/2017,3.30,2.93,4.78,3.28,6.51,3.65,9.25,4.11,33,17,10,11,6,3.36,3.52,4.73,3.87,6.78,4.25,8.86,4.61,45,20,13,10,3
30/04/2017,3.29,2.85,4.76,3.20,6.51,3.58,9.29,4.03,34,17,10,11,6,3.38,3.37,4.72,3.66,6.79,4.08,8.81,4.47,44,21,11,10,3
31/05/2017,3.25,2.66,4.75,2.98,6.50,3.35,9.28,3.79,36,16,10,11,6,3.35,3.14,4.72,3.38,6.80,3.84,8.79,4.25,46,19,14,9,3
30/06/2017,3.28,2.94,4.79,3.28,6.51,3.60,9.26,3.97,34,16,10,10,6,3.33,3.39,4.73,3.70,6.80,4.08,8.73,4.41,47,20,14,9,3
31/07/2017,3.25,2.82,4.78,3.14,6.51,3.48,9.30,3.93,34,17,10,11,6,3.29,3.25,4.70,3.54,6.79,3.97,8.67,4.35,48,19,14,9,3
31/08/2017,3.23,2.88,4.79,3.19,6.51,3.51,9.28,3.94,34,18,11,12,6,3.25,3.30,4.70,3.60,6.79,4.00,8.62,4.36,49,18,15,8,3
30/09/2017,3.20,2.92,4.78,3.26,6.58,3.62,9.28,4.04,34,21,11,13,6,3.24,3.32,4.70,3.65,6.81,4.06,8.75,4.46,48,20,14,9,3
31/10/2017,3.17,2.72,4.77,3.04,6.57,3.38,9.25,3.80,36,21,9,13,6,3.24,3.12,4.70,3.42,6.81,3.80,8.69,4.18,48,21,12,9,3
30/11/2017,3.24,2.67,4.77,2.95,6.58,3.27,9.28,3.66,35,21,10,13,6,3.25,3.08,4.71,3.36,6.88,3.70,9.20,4.16,47,21,12,14,3
31/12/2017,3.24,2.85,4.78,3.14,6.57,3.43,9.25,3.78,33,22,11,13,6,3.14,3.17,4.78,3.52,6.95,3.86,9.15,4.28,48,19,12,14,3
31/01/2018,3.21,2.87,4.77,3.18,6.57,3.50,9.21,3.84,34,22,11,13,6,3.20,3.24,4.70,3.58,6.88,3.91,9.10,4.31,48,20,12,14,3
28/02/2018,3.18,2.82,4.76,3.13,6.58,3.46,9.27,3.81,35,22,10,14,6,3.17,3.19,4.70,3.54,6.88,3.88,9.06,4.29,47,20,13,13,3
31/03/2018,3.16,2.89,4.69,3.16,6.54,3.46,9.29,3.80,45,26,11,15,6,3.21,3.19,4.78,3.53,6.88,3.92,9.06,4.37,48,21,14,15,3
30/04/2018,3.16,2.98,4.68,3.25,6.55,3.56,9.26,3.92,44,26,12,15,5,3.17,3.37,4.81,3.72,6.94,4.05,9.12,4.46,49,23,15,16,3
31/05/2018,3.14,2.90,4.66,3.19,6.56,3.53,9.23,3.89,45,24,11,15,6,3.17,3.33,4.88,3.69,6.94,4.04,9.10,4.49,50,22,16,17,3
30/06/2018,3.11,2.93,4.65,3.21,6.56,3.56,9.20,3.91,47,22,11,15,6,3.14,3.30,4.91,3.68,6.93,4.03,9.04,4.49,50,23,16,16,3
31/07/2018,3.08,2.98,4.64,3.26,6.57,3.62,9.17,3.98,49,21,11,14,6,3.12,3.37,4.92,3.76,6.92,4.13,8.99,4.58,50,22,16,16,3
31/08/2018,3.05,2.88,4.62,3.13,6.58,3.47,9.14,3.83,52,19,10,14,6,3.11,3.26,4.91,3.60,6.91,3.94,8.93,4.38,50,22,16,16,3
30/09/2018,3.06,2.93,4.62,3.22,6.55,3.58,9.12,3.96,58,17,8,14,6,3.11,3.34,4.92,3.73,6.90,4.09,8.89,4.53,51,22,15,15,3
31/10/2018,3.06,2.89,4.61,3.19,6.56,3.57,9.09,3.92,57,18,6,14,6,3.12,3.32,4.93,3.71,6.89,4.08,8.83,4.52,52,19,16,14,3
30/11/2018,3.04,2.98,4.60,3.29,6.57,3.66,9.06,3.98,55,18,7,13,6,3.12,3.45,4.94,3.84,6.88,4.22,8.77,4.69,49,18,16,14,3
31/12/2018,2.99,2.89,4.50,3.17,6.60,3.55,9.07,3.84,54,17,6,13,6,3.04,3.40,4.88,3.78,6.76,4.17,8.51,4.63,49,16,13,10,3
31/01/2019,2.99,2.88,4.57,3.11,6.58,3.44,9.01,3.75,55,18,7,13,6,3.12,3.38,4.98,3.71,6.87,4.09,8.66,4.53,44,18,13,14,3
28/02/2019,2.98,2.69,4.56,2.92,6.59,3.25,8.99,3.53,55,17,8,12,6,3.10,3.19,4.99,3.51,6.85,3.87,8.60,4.32,44,18,13,14,3
31/03/2019,3.07,2.35,4.57,2.54,6.60,2.87,8.96,3.16,48,17,8,12,6,3.09,2.85,4.99,3.14,6.84,3.50,8.55,3.94,45,18,13,12,3
30/04/2019,3.05,2.20,4.56,2.42,6.64,2.78,9.09,3.12,49,17,8,12,6,3.11,2.61,4.99,2.95,6.83,3.40,8.62,3.93,48,19,12,13,3
31/05/2019,3.10,2.00,4.56,2.20,6.65,2.55,9.06,2.85,46,17,8,12,6,3.09,2.40,4.99,2.73,6.84,3.19,8.72,3.68,48,21,11,12,3
30/06/2019,3.09,1.83,4.55,2.01,6.68,2.34,9.15,2.68,45,18,7,13,6,3.12,2.21,5.00,2.49,6.83,2.94,8.67,3.42,46,20,11,12,3
31/07/2019,3.10,1.67,4.47,1.82,6.59,2.15,8.60,2.41,44,17,7,10,6,3.14,2.01,5.00,2.25,6.79,2.69,8.44,3.22,42,21,11,10,3
31/08/2019,3.11,1.54,4.55,1.68,6.71,1.93,9.14,2.09,42,17,10,11,6,3.13,1.90,5.00,2.09,6.79,2.50,8.58,2.86,42,23,10,12,4
30/09/2019,3.16,1.59,4.55,1.72,6.69,1.97,9.12,2.18,46,14,12,10,6,3.18,1.93,5.00,2.12,6.81,2.54,8.77,2.89,41,22,12,12,4
31/10/2019,3.16,1.64,4.57,1.80,6.71,2.08,9.07,2.31,46,12,13,10,6,3.29,2.02,5.01,2.21,6.81,2.64,8.72,3.01,38,20,12,12,4
30/11/2019,3.12,1.48,4.47,1.65,6.59,1.96,8.48,2.18,45,13,12,6,6,3.28,1.82,5.02,2.03,6.77,2.44,8.52,2.88,37,20,14,12,3
31/12/2019,3.08,1.67,4.55,1.88,6.74,2.20,9.01,2.49,45,11,13,9,6,3.16,1.99,4.97,2.31,6.93,2.75,8.72,3.10,37,17,14,14,4
31/01/2020,3.07,1.37,4.56,1.50,6.71,1.76,8.98,1.96,44,12,13,9,6,3.23,1.69,5.00,1.87,6.81,2.26,8.66,2.58,37,20,14,14,4
29/02/2020,3.03,1.28,4.56,1.40,6.73,1.64,9.15,1.82,45,11,13,10,6,3.24,1.63,5.00,1.81,6.80,2.21,8.62,2.50,36,21,13,14,4
31/03/2020,3.06,1.96,4.58,2.23,6.73,2.50,9.12,2.71,38,12,13,9,6,3.24,2.35,5.01,2.77,6.79,3.30,8.57,3.80,38,21,15,11,4
30/04/2020,3.06,1.73,4.59,1.95,6.76,2.23,9.21,2.43,35,13,12,10,6,3.27,2.38,5.02,2.89,6.93,3.63,8.90,3.97,39,19,16,12,4
31/05/2020,2.99,1.55,4.51,1.69,6.74,2.02,9.15,2.35,42,13,12,10,6,3.32,2.22,5.00,2.62,6.94,3.28,8.99,3.58,38,20,18,13,5
30/06/2020,2.93,1.32,4.55,1.48,6.79,1.82,9.19,2.12,41,11,11,11,6,3.34,1.99,4.97,2.37,6.91,3.02,9.01,3.32,42,22,18,14,5
31/07/2020,2.88,1.01,4.54,1.17,6.79,1.49,9.11,1.71,42,10,11,10,7,3.35,1.73,4.99,2.06,6.88,2.62,8.90,2.78,42,21,20,13,5
31/08/2020,2.86,0.92,4.56,1.13,6.79,1.52,9.08,1.80,42,9,12,9,7,3.35,1.65,4.98,1.99,6.88,2.58,8.90,2.77,41,21,20,13,5
30/09/2020,2.83,0.84,4.57,1.02,6.80,1.36,9.00,1.56,44,8,13,8,6,3.33,1.56,4.96,1.90,6.89,2.51,8.96,2.61,40,18,18,11,5
31/10/2020,2.88,0.71,4.60,0.90,6.81,1.24,9.05,1.43,45,7,12,10,7,3.43,1.41,4.99,1.75,6.89,2.38,9.06,2.54,39,19,20,16,5
30/11/2020,2.88,0.63,4.62,0.85,6.82,1.20,9.04,1.43,42,7,12,11,7,3.41,1.18,4.99,1.53,6.89,2.15,9.00,2.30,39,22,19,16,5
31/12/2020,2.84,0.62,4.63,0.86,6.81,1.24,9.01,1.51,43,7,12,11,7,3.39,1.10,4.99,1.49,6.88,2.13,8.96,2.29,40,20,19,16,5
31/01/2021,2.83,0.65,4.64,0.92,6.81,1.33,8.98,1.66,42,7,12,11,7,3.36,1.07,5.00,1.49,6.88,2.12,8.91,2.32,40,20,19,16,5
28/02/2021,2.83,0.91,4.66,1.42,6.80,2.01,8.95,2.52,40,8,11,11,7,3.34,1.41,5.00,2.01,6.87,2.79,8.87,3.11,40,21,18,16,5
31/03/2021,2.81,0.87,4.65,1.41,6.79,2.02,8.91,2.54,41,8,12,10,7,3.38,1.38,4.99,2.02,6.85,2.80,8.82,3.15,40,21,18,14,5
30/04/2021,2.79,0.79,4.53,1.30,6.96,1.97,8.97,2.42,35,6,8,11,2,3.44,1.35,5.05,1.99,6.87,2.71,8.78,3.02,34,18,18,14,3
31/05/2021,2.85,0.83,4.72,1.38,6.83,1.95,8.88,2.39,35,8,13,12,6,3.40,1.29,5.04,1.94,6.97,2.70,9.04,3.21,39,18,18,19,5
30/06/2021,2.87,0.88,4.79,1.41,6.84,1.91,8.89,2.30,33,7,15,12,6,3.39,1.31,5.02,1.91,6.93,2.56,9.03,3.03,38,17,18,18,5
31/07/2021,2.89,0.75,4.79,1.18,6.76,1.59,8.86,1.91,38,8,14,12,6,3.40,1.14,5.03,1.70,6.88,2.27,8.86,2.52,33,19,16,16,5
31/08/2021,2.92,0.78,4.81,1.25,6.74,1.66,8.84,1.98,35,10,13,11,6,3.38,1.18,5.02,1.76,6.90,2.32,8.96,2.75,36,17,16,18,5
30/09/2021,2.97,0.96,4.78,1.50,6.72,2.03,8.82,2.44,36,11,13,10,6,3.40,1.38,5.05,2.03,6.92,2.66,9.01,3.17,32,20,15,19,5
31/10/2021,2.96,1.86,4.79,2.38,6.70,2.81,8.79,3.15,35,12,12,10,6,3.41,2.30,5.07,2.90,6.91,3.41,9.00,3.81,31,20,16,20,5
30/11/2021,2.89,1.65,4.89,2.29,6.71,2.71,9.05,3.07,33,13,11,11,7,3.38,2.11,5.04,2.77,6.90,3.29,8.97,3.74,31,20,16,18,5
31/12/2021,2.86,1.65,4.93,2.28,6.73,2.70,9.01,3.05,33,13,14,11,7,3.35,2.13,5.04,2.79,6.90,3.30,8.97,3.81,31,20,16,19,5
31/01/2022,2.75,1.93,4.84,2.61,6.41,2.96,9.02,3.38,33,12,12,8,7,3.34,2.52,4.93,3.15,6.73,3.64,8.83,4.06,26,20,10,14,4
28/02/2022,2.69,2.20,4.72,2.95,6.20,3.31,9.36,3.80,30,10,10,5,5,3.34,2.91,4.98,3.64,6.77,4.14,8.77,4.70,29,21,12,18,6
31/03/2022,2.71,3.00,4.72,3.76,6.12,4.11,9.34,4.47,33,11,9,5,5,3.39,3.76,4.99,4.42,6.75,4.87,8.71,5.42,28,23,11,17,6
30/04/2022,2.74,3.77,4.72,4.41,6.10,4.72,9.35,5.20,33,12,7,5,5,3.41,4.44,4.97,5.01,6.77,5.45,8.80,5.96,29,22,10,18,6
31/05/2022,2.71,3.93,4.72,4.60,6.06,4.90,9.36,5.46,33,12,7,5,5,3.42,4.69,4.96,5.24,6.76,5.71,8.74,6.21,28,22,12,16,6
30/06/2022,2.72,4.61,4.70,5.27,6.04,5.57,9.37,6.01,32,13,6,5,5,3.42,5.43,4.94,6.01,6.74,6.45,8.69,6.89,28,22,12,16,6
31/07/2022,2.69,4.02,4.78,4.59,6.03,4.85,9.37,5.22,31,14,6,4,4,3.13,4.66,4.75,5.13,6.85,5.60,8.42,5.97,24,13,7,11,4
31/08/2022,2.69,4.57,4.66,5.17,5.98,5.47,9.37,5.81,34,13,6,4,5,3.37,5.36,4.91,5.86,6.74,6.29,8.58,6.84,29,23,13,13,6
30/09/2022,2.93,5.11,4.87,5.64,6.39,6.00,9.35,6.36,29,14,9,5,5,3.32,5.83,5.05,6.33,6.76,6.83,8.69,7.14,34,24,20,15,6
31/10/2022,3.00,5.19,4.87,5.75,6.36,6.08,9.36,6.52,28,13,9,5,5,3.31,5.92,5.04,6.44,6.74,6.87,8.66,7.24,32,24,20,15,6
30/11/2022,3.01,4.79,4.87,5.21,6.34,5.50,9.40,5.84,27,15,8,5,5,3.29,5.50,5.04,6.01,6.73,6.42,8.63,6.83,34,24,18,15,6
31/12/2022,2.99,5.07,4.86,5.51,6.33,5.76,9.38,6.17,27,15,9,5,5,3.27,5.59,5.03,6.14,6.71,6.56,8.60,7.00,34,24,18,15,6
31/01/2023,2.99,4.63,4.84,4.98,6.31,5.25,9.39,5.64,27,15,9,5,5,3.25,5.11,5.02,5.55,6.69,5.95,8.57,6.38,34,24,20,13,6
28/02/2023,2.98,5.09,4.83,5.41,6.28,5.65,9.39,6.02,27,15,9,5,5,3.26,5.45,5.01,5.82,6.67,6.18,8.55,6.56,35,22,20,13,6
31/03/2023,3.13,4.55,4.74,4.87,6.18,5.22,9.53,5.49,28,19,8,6,5,3.25,5.00,5.00,5.46,6.65,5.89,8.52,6.31,36,23,18,13,5
30/04/2023,3.19,4.46,4.75,4.73,6.28,5.08,9.37,5.28,27,20,8,7,5,3.30,4.98,5.01,5.40,6.70,5.80,9.04,6.16,34,23,19,15,5
31/05/2023,3.22,4.82,4.72,5.04,6.27,5.37,9.34,5.59,26,20,10,5,5,3.28,5.31,5.00,5.71,6.71,6.09,9.14,6.38,36,23,19,15,5
30/06/2023,3.20,5.35,4.69,5.50,6.26,5.76,9.31,5.90,27,21,10,4,5,3.31,5.80,5.00,6.08,6.71,6.41,9.10,6.65,35,22,21,14,5
31/07/2023,3.18,5.12,4.66,5.32,6.26,5.61,9.27,5.77,28,20,10,4,5,3.29,5.60,4.99,5.93,6.69,6.28,9.07,6.56,37,20,21,14,5
31/08/2023,3.18,4.95,4.64,5.20,6.26,5.55,9.23,5.74,28,19,10,4,5,3.29,5.45,4.98,5.82,6.68,6.18,9.04,6.51,37,20,21,13,5
30/09/2023,3.27,5.25,4.66,5.49,6.38,5.80,9.41,5.98,28,20,10,5,6,3.34,5.76,4.96,6.15,6.67,6.51,9.14,6.85,37,21,21,12,5
31/10/2023,3.33,5.65,4.64,5.92,6.39,6.24,9.36,6.45,27,19,10,5,6,3.34,6.15,5.00,6.60,6.68,6.95,9.06,7.29,37,20,26,11,5
30/11/2023,3.29,5.31,4.64,5.52,6.38,5.74,9.29,5.79,31,19,12,5,6,3.33,5.73,5.00,6.09,6.70,6.39,9.04,6.66,35,20,24,11,5
31/12/2023,3.27,4.72,4.62,4.87,6.39,5.05,9.24,5.11,30,20,11,5,6,3.30,5.18,4.95,5.43,6.70,5.67,9.02,5.86,35,20,23,11,3
31/01/2024,3.28,4.70,4.59,4.92,6.40,5.17,9.18,5.26,31,20,10,5,6,3.28,5.16,4.94,5.46,6.69,5.74,8.98,5.93,35,20,23,11,3
29/02/2024,3.25,4.89,4.59,5.06,6.48,5.28,9.20,5.44,32,19,11,6,6,3.25,5.23,4.91,5.51,6.67,5.76,8.93,5.95,36,20,23,11,3
31/03/2024,3.21,4.76,4.61,4.92,6.44,5.11,9.14,5.23,34,20,11,6,6,3.34,5.05,4.95,5.27,6.74,5.54,9.20,5.80,36,19,24,15,3
30/04/2024,3.23,5.22,4.60,5.39,6.45,5.55,9.07,5.64,38,17,9,6,6,3.37,5.48,4.95,5.73,6.78,5.98,9.26,6.20,37,16,24,16,4
31/05/2024,3.21,5.10,4.57,5.27,6.49,5.45,9.00,5.55,39,17,9,7,6,3.37,5.40,4.97,5.61,6.82,5.84,9.20,6.05,36,18,25,17,3
30/06/2024,3.20,5.21,4.56,5.32,6.47,5.42,8.94,5.47,39,18,8,7,6,3.35,5.45,4.95,5.63,6.81,5.83,9.18,6.00,37,18,25,17,3
31/07/2024,3.19,4.80,4.55,4.92,6.50,5.06,8.87,5.17,38,18,7,7,6,3.36,5.08,4.95,5.26,6.80,5.47,9.15,5.64,36,19,24,17,3
31/08/2024,3.15,4.64,4.53,4.78,6.51,4.96,9.07,5.10,38,18,7,7,7,3.37,4.88,4.96,5.13,6.81,5.40,9.12,5.59,36,20,22,18,3
30/09/2024,3.14,4.54,4.56,4.67,6.48,4.83,9.02,4.97,42,19,6,8,6,3.34,4.79,4.97,5.04,6.85,5.30,9.25,5.49,37,20,21,20,5
31/10/2024,3.11,4.94,4.54,5.08,6.50,5.23,8.99,5.35,42,19,6,8,6,3.31,5.22,4.96,5.44,6.85,5.66,9.20,5.82,38,20,20,20,5
30/11/2024,3.08,4.80,4.53,4.93,6.51,5.07,8.96,5.17,44,18,5,8,6,3.29,5.11,4.96,5.31,6.87,5.50,9.21,5.65,38,20,19,22,5
31/12/2024,3.04,4.66,4.51,4.77,6.53,4.89,8.92,4.97,45,17,7,6,6,3.27,4.95,4.97,5.15,6.87,5.34,9.17,5.49,38,21,19,23,5
31/01/2025,3.04,4.59,4.53,4.76,6.53,4.92,8.88,5.04,44,19,8,6,6,3.24,4.87,4.97,5.12,6.87,5.33,9.12,5.50,38,22,18,23,5
28/02/2025,3.10,4.50,4.60,4.70,6.60,4.90,8.90,5.00,39,17,7,6,6,3.30,4.80,5.00,5.00,6.90,5.20,9.10,5.40,37,22,19,23,5
31/03/2025,3.08,4.49,4.54,4.66,6.58,4.91,8.84,5.08,40,15,8,5,6,3.24,4.77,4.98,5.05,6.89,5.29,9.01,5.49,39,22,17,22,4
4/30/2025,3.14,4.21,4.54,4.43,6.60,4.74,8.82,4.93,36,16,8,4,6,3.27,4.55,4.98,4.88,6.89,5.17,8.97,5.41,36,24,17,20,4
5/31/2025,3.12,4.20,4.52,4.43,6.61,4.72,8.80,4.92,35,17,7,4,6,3.25,4.56,4.97,4.89,6.89,5.19,8.93,5.42,38,24,17,18,4
6/30/2025,3.13,4.07,4.52,4.28,6.62,4.57,8.79,4.73,35,17,5,4,6,3.26,4.38,4.98,4.70,6.88,4.98,8.88,5.20,36,24,18,17,4
